time,sensor_AccelerometerX[],sensor_AccelerometerY[],sensor_AccelerometerZ[],sensor_GyroscopeX[],sensor_GyroscopeY[],sensor_GyroscopeZ[],label_shakestill_STILL,label_shakestill_shake
1659956794349,-0.30000000000000004,5.300000000000001,8.6,,,,,
1659956794529,-0.30000000000000004,5.1000000000000005,8.8,,,,x,
1659956794549,-0.30000000000000004,5.2,8.6,,,,x,
1659956794569,-0.30000000000000004,5.2,8.4,,,,x,
1659956794589,-0.2,5.2,8.5,,,,x,
1659956794594,,,,0.006981317007977318,0.04188790204786391,0.013962634015954637,x,
1659956794609,-0.2,5.2,8.3,,,,x,
1659956794629,-0.2,5.2,8.200000000000001,,,,x,
1659956794634,,,,-0.020943951023931956,0.08203047484373349,0.010471975511965978,x,
1659956794649,-0.2,5.2,8.200000000000001,,,,x,
1659956794654,,,,-0.04537856055185257,0.12217304763960307,0.013962634015954637,x,
1659956794669,-0.30000000000000004,5.1000000000000005,8.3,,,,x,
1659956794673,,,,-0.026179938779914945,0.0767944870877505,0.005235987755982989,x,
1659956794689,-0.4,5.1000000000000005,8,,,,x,
1659956794694,,,,0.031415926535897934,0.03316125578789226,-0.006981317007977318,x,
1659956794709,-0.30000000000000004,5.1000000000000005,7.9,,,,x,
1659956794718,,,,0.09250245035569947,-0.026179938779914945,0.006981317007977318,x,
1659956794729,-0.1,5.4,7.9,,,,x,
1659956794740,,,,0.07853981633974483,-0.03316125578789226,-0.013962634015954637,x,
1659956794750,-0.2,5.300000000000001,7.9,,,,x,
1659956794769,-0.30000000000000004,5.2,7.9,,,,x,
1659956794774,,,,0.006981317007977318,-0.04537856055185257,-0.048869219055841226,x,
1659956794789,-0.5,5,7.9,,,,x,
1659956794801,,,,-0.10297442586766545,0.005235987755982989,-0.05061454830783556,x,
1659956794810,-0.4,5.1000000000000005,8.4,,,,x,
1659956794820,,,,-0.21642082724729686,0.005235987755982989,-0.017453292519943295,x,
1659956794834,-0.2,5.1000000000000005,8.8,,,,x,
1659956794853,-0.30000000000000004,5.1000000000000005,8.9,,,,x,
1659956794854,,,,-0.1884955592153876,-0.03839724354387525,-0.013962634015954637,x,
1659956794878,-0.4,5,7.9,,,,x,
1659956794892,,,,-0.019198621771937624,-0.003490658503988659,-0.03665191429188092,x,
1659956794909,-0.5,4.9,7.7,,,,x,
1659956794918,,,,-0.022689280275926284,-0.020943951023931956,0.005235987755982989,x,
1659956794929,-0.4,4.9,7.800000000000001,,,,x,
1659956794937,,,,-0.05235987755982989,-0.09948376736367678,0.027925268031909273,x,
1659956794951,-0.1,5.1000000000000005,8.1,,,,x,
1659956794969,-0.1,5.2,8.6,,,,x,
1659956794977,,,,-0.11868238913561441,-0.1239183768915974,0.05235987755982989,x,
1659956795069,-0.2,4.9,8.700000000000001,,,,x,
1659956795074,,,,-0.09075712110370514,-0.06981317007977318,0.05235987755982989,x,
1659956795089,-0.2,4.9,8.8,,,,x,
1659956795100,,,,-0.05061454830783556,-0.029670597283903602,0.03665191429188092,x,
1659956795109,-0.1,4.9,8.6,,,,x,
1659956795116,,,,-0.0471238898038469,0.026179938779914945,0.012217304763960306,x,
1659956795137,-0.2,4.800000000000001,8.5,-0.03316125578789226,0.03665191429188092,-0.0017453292519943296,x,
1659956795169,-0.1,4.9,8.200000000000001,,,,x,
1659956795174,,,,0.026179938779914945,-0.0471238898038469,0.022689280275926284,x,
1659956795189,0,4.9,8.200000000000001,,,,x,
1659956795210,0,5,8.5,,,,x,
1659956795220,,,,-0.05585053606381855,-0.008726646259971648,0.0017453292519943296,x,
1659956795409,-0.2,4.800000000000001,8.4,,,,x,
1659956795423,-0.30000000000000004,4.7,8.5,-0.003490658503988659,0.005235987755982989,-0.026179938779914945,x,
1659956795432,-0.2,4.7,8.4,0.1239183768915974,-0.026179938779914945,-0.03490658503988659,x,
1659956795448,,,,0.04363323129985824,0.03490658503988659,0.020943951023931956,x,
1659956795449,0,4.9,8.4,,,,x,
1659956795469,-0.1,4.9,8.4,,,,x,
1659956795473,,,,-0.026179938779914945,0.09250245035569947,-0.020943951023931956,x,
1659956795590,-0.30000000000000004,4.9,8.3,,,,x,
1659956795594,,,,-0.005235987755982989,0.07330382858376185,-0.019198621771937624,x,
1659956795609,-0.4,4.800000000000001,8.4,,,,x,
1659956795613,,,,-0.020943951023931956,0.048869219055841226,-0.029670597283903602,x,
1659956795636,-0.30000000000000004,4.800000000000001,8.3,,,,x,
1659956795637,,,,0.0471238898038469,-0.04537856055185257,-0.03839724354387525,x,
1659956795655,-0.5,4.7,8.5,,,,x,
1659956795656,,,,0.006981317007977318,-0.015707963267948967,-0.04537856055185257,x,
1659956795689,-0.5,4.7,8.6,,,,x,
1659956795694,,,,-0.0645771823237902,0.06632251157578452,-0.04363323129985824,x,
1659956795711,-0.2,4.800000000000001,8.700000000000001,,,,x,
1659956795724,,,,-0.024434609527920613,0.029670597283903602,0.012217304763960306,x,
1659956795729,-0.2,4.800000000000001,8.5,,,,x,
1659956795738,,,,0.020943951023931956,0.020943951023931956,0.0017453292519943296,x,
1659956795755,-0.4,4.800000000000001,8.5,,,,x,
1659956795771,-0.4,4.800000000000001,8.6,,,,x,
1659956795773,,,,0.010471975511965978,0.05061454830783556,-0.017453292519943295,x,
1659956795790,-0.6000000000000001,4.800000000000001,8.8,,,,x,
1659956795793,,,,-0.017453292519943295,0.1466076571675237,-0.008726646259971648,x,
1659956795809,-0.5,4.800000000000001,8,,,,x,
1659956795817,,,,0.05235987755982989,0.16057029118347832,0.0017453292519943296,x,
1659956795833,-0.5,4.7,8.200000000000001,0.12740903539558607,-0.015707963267948967,0,x,
1659956795851,-0.4,4.7,8.1,,,,x,
1659956795869,-0.4,4.7,8.200000000000001,,,,x,
1659956795874,,,,0.1466076571675237,-0.11519173063162576,0.029670597283903602,x,
1659956795889,-0.30000000000000004,5.1000000000000005,8.3,,,,x,
1659956795893,,,,-0.08203047484373349,0.022689280275926284,0.0767944870877505,x,
1659956795909,-0.30000000000000004,4.9,8.3,,,,x,
1659956795918,,,,-0.10646508437165411,-0.006981317007977318,0.03490658503988659,x,
1659956795933,-0.30000000000000004,4.9,8.5,,,,x,
1659956795950,-0.2,4.9,8.9,,,,x,
1659956795953,,,,0.008726646259971648,-0.06806784082777885,0.020943951023931956,x,
1659956795969,-0.1,4.9,8.700000000000001,,,,x,
1659956795973,,,,0.03839724354387525,-0.013962634015954637,0.003490658503988659,x,
1659956795989,-0.30000000000000004,4.9,8.4,,,,x,
1659956796069,-0.30000000000000004,4.9,8.5,,,,x,
1659956796073,,,,-0.04014257279586958,0.008726646259971648,-0.026179938779914945,x,
1659956796089,-0.4,4.7,8.700000000000001,,,,x,
1659956796093,,,,-0.003490658503988659,0.0017453292519943296,-0.04188790204786391,x,
1659956796109,-0.4,4.800000000000001,8.6,,,,x,
1659956796116,,,,0.031415926535897934,0.006981317007977318,-0.024434609527920613,x,
1659956796133,-0.4,4.7,8.200000000000001,,,,x,
1659956796134,,,,0.04014257279586958,0.017453292519943295,-0.010471975511965978,x,
1659956796282,-0.4,4.800000000000001,8.5,-0.003490658503988659,-0.03316125578789226,-0.013962634015954637,x,
1659956796310,-0.4,4.800000000000001,8.5,,,,x,
1659956796311,,,,0.008726646259971648,-0.012217304763960306,0,x,
1659956796329,-0.30000000000000004,4.9,8.5,,,,x,
1659956796340,,,,0.027925268031909273,-0.017453292519943295,0.03316125578789226,x,
1659956796349,-0.1,5,8.6,,,,x,
1659956796376,-0.5,4.7,8.3,,,,x,
1659956796377,,,,-0.006981317007977318,0.059341194567807204,-0.03839724354387525,x,
1659956796394,,,,-0.024434609527920613,0.04014257279586958,-0.020943951023931956,x,
1659956796409,-0.5,4.800000000000001,8.3,,,,x,
1659956796429,-0.30000000000000004,4.800000000000001,8.4,,,,x,
1659956796439,,,,0.024434609527920613,-0.04363323129985824,0.026179938779914945,x,
1659956796459,-0.4,4.9,8.3,0.015707963267948967,-0.022689280275926284,0.022689280275926284,x,
1659956796489,-0.30000000000000004,4.9,8.5,,,,x,
1659956796556,-0.2,4.9,8.6,-0.005235987755982989,0.010471975511965978,0.03490658503988659,x,
1659956796573,,,,0.027925268031909273,-0.005235987755982989,0.04014257279586958,x,
1659956796589,-0.2,5,8.4,,,,x,
1659956796609,-0.30000000000000004,4.9,8.4,,,,x,
1659956796613,,,,0.027925268031909273,0.024434609527920613,0.019198621771937624,x,
1659956796629,-0.30000000000000004,4.800000000000001,8.4,,,,x,
1659956796639,,,,0.006981317007977318,-0.003490658503988659,-0.012217304763960306,x,
1659956796649,-0.4,4.7,8.5,,,,x,
1659956796676,-0.4,4.800000000000001,8.3,,,,x,
1659956796677,,,,0,0.03665191429188092,0.003490658503988659,x,
1659956796694,,,,0.017453292519943295,0,0.005235987755982989,x,
1659956796709,-0.30000000000000004,4.9,8.3,,,,x,
1659956796729,-0.30000000000000004,4.800000000000001,8.6,,,,x,
1659956796742,,,,-0.003490658503988659,-0.029670597283903602,0,x,
1659956796749,-0.4,4.800000000000001,8.5,,,,x,
1659956796753,,,,-0.020943951023931956,0.003490658503988659,-0.013962634015954637,x,
1659956796775,-0.4,4.800000000000001,8.5,,,,x,
1659956796789,-0.4,4.800000000000001,8.5,,,,x,
1659956796794,,,,0.0017453292519943296,-0.006981317007977318,0.012217304763960306,x,
1659956796809,-0.30000000000000004,4.800000000000001,8.4,,,,x,
1659956796814,,,,-0.022689280275926284,0.024434609527920613,0.017453292519943295,x,
1659956796829,-0.30000000000000004,4.800000000000001,8.6,,,,x,
1659956796843,,,,-0.020943951023931956,0.04363323129985824,0.012217304763960306,x,
1659956796849,-0.30000000000000004,4.9,8.5,,,,x,
1659956796854,,,,0.022689280275926284,0.022689280275926284,-0.003490658503988659,x,
1659956796869,-0.4,4.800000000000001,8.4,,,,x,
1659956796873,,,,0.05759586531581288,-0.008726646259971648,-0.013962634015954637,x,
1659956796891,-0.4,4.800000000000001,8.3,,,,x,
1659956796909,-0.4,4.800000000000001,8.200000000000001,,,,x,
1659956796913,,,,0.026179938779914945,0.0017453292519943296,0.015707963267948967,x,
1659956796929,-0.2,4.9,8.3,,,,x,
1659956796934,,,,-0.005235987755982989,-0.013962634015954637,0.020943951023931956,x,
1659956796998,-0.4,4.800000000000001,8.5,,,,x,
1659956796999,,,,-0.04188790204786391,0.03316125578789226,-0.022689280275926284,x,
1659956797183,-0.30000000000000004,5,8.5,0.031415926535897934,-0.0017453292519943296,0.006981317007977318,x,
1659956797196,-0.4,4.9,8.5,0.0017453292519943296,0.03665191429188092,-0.022689280275926284,x,
1659956797214,,,,0.019198621771937624,0.03839724354387525,-0.0471238898038469,x,
1659956797229,-0.5,4.800000000000001,8.4,,,,x,
1659956797236,,,,0.03665191429188092,-0.0017453292519943296,-0.04014257279586958,x,
1659956797361,-0.5,4.800000000000001,8.5,,,,x,
1659956797364,,,,0.03490658503988659,-0.0471238898038469,-0.010471975511965978,x,
1659956797376,-0.4,4.9,8.4,0.054105206811824215,-0.048869219055841226,0.013962634015954637,x,
1659956797393,,,,0.0471238898038469,-0.019198621771937624,0.020943951023931956,x,
1659956797409,-0.5,4.9,8.200000000000001,,,,x,
1659956797413,,,,0.006981317007977318,0.006981317007977318,0.019198621771937624,x,
1659956797429,-0.4,4.800000000000001,8.3,,,,x,
1659956797488,-0.4,5,8.1,-0.031415926535897934,-0.04537856055185257,0.048869219055841226,x,
1659956797579,-0.2,5,8.6,-0.07853981633974483,-0.015707963267948967,0.04537856055185257,x,
1659956797593,,,,-0.020943951023931956,0.048869219055841226,-0.015707963267948967,x,
1659956797609,-0.5,4.800000000000001,8.200000000000001,,,,x,
1659956797629,-0.4,4.7,8.200000000000001,,,,x,
1659956797633,,,,0,0.0017453292519943296,-0.03490658503988659,x,
1659956797649,-0.30000000000000004,4.800000000000001,8.4,,,,x,
1659956797658,,,,-0.03839724354387525,-0.04363323129985824,0.013962634015954637,x,
1659956797669,-0.30000000000000004,4.9,8.6,,,,x,
1659956797689,-0.4,4.800000000000001,8.6,,,,x,
1659956797694,,,,-0.0017453292519943296,0.003490658503988659,-0.017453292519943295,x,
1659956797709,-0.4,4.800000000000001,8.4,,,,x,
1659956797713,,,,-0.0017453292519943296,0.022689280275926284,-0.006981317007977318,x,
1659956797729,-0.4,4.800000000000001,8.4,,,,x,
1659956797736,,,,-0.005235987755982989,0.020943951023931956,0.003490658503988659,x,
1659956797749,-0.30000000000000004,4.800000000000001,8.4,,,,x,
1659956797753,,,,0.010471975511965978,0,0.010471975511965978,x,
1659956797771,-0.30000000000000004,4.9,8.4,,,,x,
1659956797773,,,,0.013962634015954637,0.005235987755982989,0.003490658503988659,x,
1659956797789,-0.4,4.800000000000001,8.200000000000001,,,,x,
1659956797809,-0.30000000000000004,4.800000000000001,8.4,,,,x,
1659956797813,,,,-0.020943951023931956,-0.010471975511965978,0.008726646259971648,x,
1659956797829,-0.30000000000000004,4.800000000000001,8.4,,,,x,
1659956797837,,,,-0.006981317007977318,-0.03490658503988659,0.017453292519943295,x,
1659956797853,-0.30000000000000004,4.9,8.3,,,,x,
1659956797869,-0.1,5,8.700000000000001,,,,x,
1659956797873,,,,-0.024434609527920613,-0.03490658503988659,0.026179938779914945,x,
1659956797889,-0.1,5,8.8,,,,x,
1659956798149,-0.30000000000000004,4.9,8.5,,,,x,
1659956798153,,,,-0.05759586531581288,0.03490658503988659,0.012217304763960306,x,
1659956798184,-0.2,4.9,8.4,,,,x,
1659956798185,,,,0.04014257279586958,-0.04537856055185257,0.010471975511965978,x,
1659956798225,-0.1,4.9,8.6,,,,x,
1659956798226,,,,-0.020943951023931956,-0.029670597283903602,0.015707963267948967,x,
1659956798247,-0.2,4.9,8.6,,,,x,
1659956798248,,,,-0.06632251157578452,0.012217304763960306,0.006981317007977318,x,
1659956798273,-0.2,4.9,8.6,,,,x,
